i,j
228,661
25,181
1163,1000
487,59
282,132
512,144
510,162
235,646
1120,1077
302,290
242,434
510,145
159,236
383,620
407,588
446,490
384,470
197,448
1188,1085
1159,1032
230,1122
447,211
515,147
1157,1042
417,199
1228,1156
1166,1070
602,83
358,196
394,83
328,631
263,446
199,278
119,1064
239,160
1267,1073
194,368
1257,868
1292,758
308,249
1259,975
503,110
281,123
224,327
335,213
166,369
19,227
251,247
407,412
516,213
333,240
422,229
549,124
426,137
247,471
194,106
159,201
281,368
10,17
224,176
732,911
1250,1068
1294,957
1058,1037
265,389
325,608
279,394
534,114
166,168
338,24
436,476
479,182
1174,971
234,95
1237,1076
10,73
627,139
156,256
0,760
1178,1120
539,68
577,61
246,267
457,91
556,69
308,490
424,22
4,222
406,95
584,152
306,17
242,54
261,56
312,194
265,585
581,273
271,466
417,161
295,300
437,408
1164,1109
225,550
377,624
167,446
267,348
482,154
1266,875
424,75
323,187
550,234
266,376
341,500
1263,839
1291,994
371,581
333,509
474,172
1155,1046
349,165
242,138
455,154
619,128
262,226
135,371
349,256
1278,913
1195,1158
1109,1027
522,79
493,144
203,424
267,599
106,1096
307,481
302,305
1264,952
561,212
464,50
555,113
8,95
1160,1125
319,468
20,27
357,606
1182,1067
1268,897
1139,1023
505,38
313,467
234,570
1257,1101
519,148
234,456
176,479
576,112
286,10
219,90
1245,1056
260,1095
175,464
446,182
235,314
292,305
413,225
271,245
502,690
579,257
280,418
17,58
423,58
499,101
566,225
259,371
490,123
740,917
1123,1093
464,94
227,300
147,393
193,536
411,623
433,450
237,490
289,485
407,613
591,134
205,42
1078,1067
1244,1140
230,89
489,17
11,774
444,521
202,90
608,61
162,373
91,1029
265,51
536,121
350,59
233,580
1230,821
290,156
500,195
273,280
571,148
423,127
1213,1185
336,475
158,199
1085,1010
1143,1035
379,641
217,384
1101,1024
1133,1064
1294,845
454,192
254,489
343,161
1232,1034
174,240
353,220
259,572
591,257
619,800
1067,987
1120,1071
539,146
333,473
27,97
199,429
201,221
11,777
196,217
1234,1044
172,209
167,147
18,216
1241,1094
1149,1105
146,411
375,455
266,88
301,162
477,140
547,94
268,68
262,419
485,171
510,184
420,624
245,418
143,359
2,266
202,128
15,761
1278,1055
1262,800
657,167
205,457
183,383
281,344
289,90
1159,1056
244,254
272,9
716,903
1218,1017
229,1073
601,97
603,67
90,1029
381,577
586,209
241,299
87,1049
495,141
338,186
15,133
1227,853
500,29
394,451
392,610
600,120
264,228
250,441
325,244
8,33
1295,887
611,123
310,243
1290,998
454,57
361,46
1294,1007
1237,1132
207,474
1154,1014
221,200
245,449
243,228
333,619
541,21
574,32
429,106
361,103
499,172
192,285
649,844
319,214
356,590
192,102
281,237
323,470
358,161
1165,1019
192,377
173,404
368,208
135,364
418,72
148,430
308,60
1265,938
1226,1049
12,127
470,32
443,135
321,62
162,447
1275,1162
342,246
1032,328
951,272
1280,138
229,999
378,757
1157,161
813,364
882,406
936,1052
298,625
722,563
357,533
336,318
167,979
1026,494
1133,1184
356,728
109,342
1234,473
989,101
1095,1114
866,204
495,297
1182,546
1161,311
1195,585
809,363
311,601
29,854
296,792
1110,688
364,979
1156,246
968,762
948,659
968,145
999,765
930,896
867,71
1118,917
1180,400
1272,522
951,554
808,346
253,512
834,981
941,129
1127,555
82,944
921,7
140,796
256,984
966,411
990,151
1221,138
339,555
141,902
335,887
1086,545
971,103
1016,1159
131,251
538,845
1061,65
324,792
1159,220
132,957
798,354
427,923
11,492
227,918
503,907
1011,290
83,114
1081,471
277,875
353,301
895,729
215,923
189,773
1198,14
1071,934
957,929
806,979
874,389
1072,766
852,705
958,932
756,103
985,662
315,381
902,989
165,918
1013,653
937,687
808,127
741,65
1277,209
496,577
677,1023
779,939
700,1072
271,694
1111,360
1240,453
994,698
940,300
912,623
951,709
1281,178
1209,499
935,975
1070,709
170,964
1205,247
54,682
1071,1181
55,1145
520,306
864,298
916,986
267,882
50,664
795,204
972,347
1093,626
381,281
1006,821
1139,567
1123,390
967,1123
1011,851
105,979
1185,541
1119,662
1042,953
376,910
1269,777
1233,1186
1043,602
71,137
1231,542
125,728
861,658
1255,1196
1104,368
372,907
1257,322
465,528
716,134
987,364
1259,392
417,832
902,507
194,1044
283,703
404,869
883,649
944,1112
765,885
924,1145
1121,51
1220,560
1264,571
1019,717
124,917
463,519
1118,256
86,288
6,549
1210,554
931,771
882,1047
1135,664
3,1194
354,284
1114,924
994,377
32,257
855,958
1189,9
1061,12
236,534
819,288
806,502
1046,876
859,131
741,280
258,552
1284,564
106,148
772,546
959,36
1090,482
1116,1189
823,455
56,1038
33,781
137,777
728,170
1179,92
996,1058
218,1020
603,515
9,1015
686,210
375,365
520,248
1273,779
809,954
841,35
687,211
796,538
569,859
1161,619
634,519
1084,89
852,707
21,1030
31,1098
1080,197
363,397
120,109
1123,652
170,894
485,252
885,223
1020,1187
1089,145
1290,554
1156,147
1148,520
47,1035
982,758
847,276
991,299
1268,1130
83,756
1180,560
379,321
860,506
442,363
1242,227
1225,227
921,63
27,923
500,251
825,437
1218,221
832,88
1075,131
1046,890
40,785
321,297
186,982
116,18
1182,275
779,392
976,961
759,593
237,760
1146,491
1164,289
821,284
1044,65
934,541
890,44
2,889
1007,489
1151,229
1214,457
430,907
939,127
806,944
132,74
477,897
889,16
49,212
321,856
910,985
1158,602
813,980
224,796
1162,67
850,905
328,916
1027,846
137,966
971,579
1135,228
85,741
814,221
2,531
1085,667
995,437
1008,457
60,652
1118,1129
194,774
200,759
22,634
152,840
1244,153
1030,206
644,541
1063,552
998,213
60,1040
73,685
1106,547
845,581
919,246
90,685
171,1078
27,773
67,1091
941,25
1114,217
807,167
830,41
140,272
842,1001
295,975
268,914
346,961
69,1109
3,641
1264,271
127,792
1263,431
941,624
135,730
5,516
985,409
942,555
1222,136
895,11
1120,720
70,26
396,814
984,673
27,1131
309,589
716,275
385,770
947,843
1050,488
289,714
931,1068
962,465
1117,398
979,189
174,895
848,727
577,524
934,1139
970,150
723,547
111,835
898,617
1233,573
1135,551
998,838
166,704
14,479
131,28
1277,447
975,887
1091,267
1191,378
897,959
1040,735
1131,671
395,949
796,659
318,904
1122,466
1075,1093
1029,1181
943,784
310,883
1039,187
101,89
1157,183
1098,595
57,884
804,433
1095,932
1001,186
1233,137
730,280
1151,393
1063,955
1112,534
1154,235
126,83
1249,563
970,118
877,629
125,1006
40,638
966,884
820,225
16,587
94,745
754,77
1020,641
23,1084
1242,362
1033,293
917,51
1234,77
893,493
933,147
163,907
720,1003
1076,205
1097,267
1220,637
1199,458
1056,877
979,109
1050,1097
862,470
254,772
796,622
1141,159
80,689
483,526
824,631
328,924
151,790
1133,526
1094,531
