i,j
633,161
681,172
646,301
859,183
873,177
575,164
714,160
664,157
864,200
838,379
635,332
864,186
731,166
636,175
847,180
692,174
677,166
666,175
815,386
652,190
871,182
847,382
761,164
641,172
774,163
854,281
710,167
686,176
560,163
898,172
795,186
766,162
880,289
798,169
768,180
645,154
646,305
816,178
568,172
699,159
719,164
588,167
695,186
833,394
686,175
861,284
598,170
856,277
732,182
655,157
695,178
691,165
883,195
582,164
735,183
743,168
749,162
672,169
675,165
683,173
725,177
672,176
556,168
633,327
846,403
640,155
646,169
808,178
816,395
799,193
860,174
819,384
750,184
828,380
888,185
600,167
856,283
880,428
825,389
650,546
876,202
763,167
805,174
694,159
672,162
638,324
755,171
812,385
617,157
639,540
699,164
838,406
781,192
562,166
708,158
774,187
767,162
828,191
846,385
673,178
825,182
833,295
828,386
647,305
899,193
736,174
707,177
596,161
791,182
600,161
618,167
637,316
725,188
654,149
873,180
818,393
556,165
747,164
810,170
546,156
849,398
647,192
843,289
107,186
88,155
53,214
90,46
87,360
109,225
107,236
118,360
47,386
63,82
24,67
5,212
123,162
147,266
121,80
55,196
129,93
90,84
89,111
111,243
31,377
36,85
57,154
67,449
98,288
148,48
55,89
110,208
110,156
18,398
21,121
105,274
130,276
48,367
85,33
29,397
53,455
94,395
147,25
39,47
44,280
62,133
1,218
33,336
71,270
103,140
3,162
51,348
95,362
69,203
103,114
104,104
25,236
138,245
52,209
90,35
67,154
0,343
0,25
84,246
23,161
5,13
66,434
4,279
76,53
99,111
60,2
17,241
2,121
20,232
64,240
39,134
48,63
46,316
28,430
143,291
84,87
75,85
19,423
107,62
67,114
25,145
17,253
128,205
33,47
52,6
128,131
114,30
42,390
67,260
77,226
40,194
120,404
100,31
105,259
67,82
119,407
88,331
153,48
28,297
114,18
158,256
106,304
8,356
62,11
94,313
43,427
60,211
78,211
32,396
2,365
5,253
4,1
53,69
67,269
56,196
82,294
74,19
90,211
106,265
120,258
64,111
114,176
69,184
29,352
43,50
94,258
137,33
61,231
131,42
15,47
108,336
67,259
80,379
23,316
55,351
2,275
84,101
53,380
87,169
81,90
57,6
74,169
51,378
77,350
29,412
16,17
83,114
115,358
105,51
55,183
78,186
20,396
69,284
88,24
126,228
3,21
45,128
153,22
17,201
86,274
76,134
40,410
46,243
82,358
54,15
66,272
158,50
68,457
128,403
103,269
83,309
154,12
77,399
51,198
88,0
116,123
55,425
49,406
67,16
81,69
40,415
56,214
86,173
153,5
113,101
102,157
3,189
164,23
101,271
17,262
72,70
64,259
91,249
83,257
82,37
80,94
19,393
84,318
65,418
31,315
41,75
79,62
31,60
111,181
74,182
27,39
53,313
70,448
52,137
74,25
22,181
92,335
6,182
28,194
156,27
148,33
100,332
25,185
74,123
69,388
96,25
94,277
61,53
122,152
41,365
126,9
115,331
18,184
91,257
56,277
132,64
54,44
107,152
109,89
122,352
18,394
124,323
14,388
18,328
38,378
40,365
79,473
50,168
115,256
3,188
69,27
131,131
90,132
79,274
132,228
19,223
103,147
26,24
129,69
58,422
29,23
119,380
74,378
78,219
127,32
11,309
2,251
91,207
93,383
2,343
56,206
26,200
64,132
40,56
21,352
68,460
87,112
39,72
77,387
114,240
66,134
33,226
42,127
115,182
19,27
142,209
13,42
116,276
95,300
125,240
108,92
71,223
66,88
70,116
96,7
33,376
101,309
84,172
0,86
64,292
115,233
104,69
124,302
60,358
119,58
46,335
40,3
66,431
5,330
99,77
35,121
94,183
38,243
67,454
71,368
124,182
122,195
127,255
10,237
140,269
198,25
9,117
121,191
86,188
154,225
67,219
61,428
89,380
70,135
116,88
102,143
3,100
100,365
19,118
36,110
8,172
76,436
79,156
35,180
5,324
38,419
128,275
135,261
96,48
8,336
130,65
60,86
52,433
21,435
144,64
20,138
54,139
23,387
34,350
70,103
96,304
107,56
71,285
124,278
112,297
116,90
115,222
109,41
74,122
78,221
97,138
83,361
24,106
21,17
51,361
28,164
13,246
103,85
56,350
128,20
124,378
56,49
69,112
55,122
129,9
60,340
116,244
35,50
83,97
152,59
70,78
80,157
58,205
16,208
148,256
97,174
95,85
65,211
148,22
85,415
44,200
106,416
75,156
47,442
44,70
95,209
59,312
52,197
69,346
1,102
105,34
26,353
88,259
43,233
38,294
31,324
57,385
99,221
127,44
99,60
56,295
26,301
2,112
67,210
104,287
195,27
14,318
67,249
123,90
36,437
72,273
71,291
125,196
29,142
120,281
0,111
35,107
132,237
59,270
80,209
85,343
107,194
81,363
46,260
113,262
80,326
79,263
59,392
45,282
33,326
77,188
37,31
123,346
58,447
58,273
81,82
32,434
98,18
50,324
74,149
82,389
67,464
55,270
1,267
24,289
53,368
126,165
24,155
10,185
38,145
24,393
38,445
46,150
85,346
118,336
13,55
80,41
43,131
49,219
90,388
72,219
12,285
114,298
140,26
117,185
68,95
71,75
69,159
10,242
90,307
101,163
46,381
109,236
54,239
22,118
24,194
122,229
34,243
0,66
62,306
120,299
70,265
78,414
146,277
17,121
75,259
133,41
92,312
123,327
96,231
18,363
2,329
14,168
103,329
23,146
35,237
3,148
37,79
68,115
131,221
154,226
9,186
11,342
49,117
76,172
61,442
121,319
95,421
42,235
42,219
102,361
25,393
45,60
67,267
105,284
63,88
104,253
16,118
124,45
122,362
110,127
32,229
35,330
30,220
27,170
34,292
1,320
111,408
78,71
31,115
102,51
139,33
90,86
9,160
125,22
55,300
38,262
25,261
119,319
34,192
137,197
73,368
119,27
139,210
62,262
13,263
125,68
90,214
67,483
42,341
61,422
97,256
64,467
3,89
116,33
120,348
132,267
41,306
74,272
46,383
120,394
143,62
133,227
105,11
94,254
54,425
48,332
4,165
85,196
19,340
21,118
43,262
109,224
122,159
97,37
14,30
108,173
61,170
68,447
26,107
124,117
21,6
120,246
65,446
31,397
75,119
128,423
121,375
87,278
71,318
36,198
83,277
43,267
116,397
46,82
89,306
64,380
36,127
78,244
11,264
95,427
22,323
140,278
86,97
34,88
122,330
46,306
0,82
13,388
81,367
32,17
126,313
108,112
29,317
37,398
76,443
106,377
58,268
197,35
24,300
43,338
90,141
112,118
11,174
52,286
113,95
129,133
73,97
83,163
59,317
46,272
36,222
79,255
102,341
122,344
84,8
71,269
116,168
123,365
55,42
45,358
123,182
17,190
39,405
46,365
41,373
44,87
18,335
162,13
105,418
18,110
45,247
103,405
40,320
125,264
8,202
64,433
105,14
152,5
25,262
27,370
75,126
121,113
35,374
72,195
121,344
15,394
7,352
109,160
1,360
64,400
141,45
12,184
45,132
111,141
13,203
124,9
82,92
61,99
22,104
61,318
72,453
113,156
34,207
125,327
88,424
118,58
81,53
97,313
97,29
95,391
128,174
54,326
18,219
13,220
15,176
100,419
82,291
86,312
78,87
183,22
39,347
42,396
39,51
106,130
76,211
119,177
62,264
26,116
125,286
13,95
164,21
10,41
62,211
57,267
70,23
24,130
47,130
65,78
44,111
70,449
73,298
14,71
89,140
93,42
91,398
62,27
34,230
143,304
23,123
102,259
129,4
123,60
101,258
62,390
36,45
56,460
97,191
63,223
104,269
92,316
15,364
77,346
106,200
1,65
47,434
81,404
65,163
153,60
69,171
128,54
96,295
143,26
96,64
65,366
35,261
10,292
37,351
115,1
97,318
24,180
78,326
119,24
14,242
131,141
52,229
27,233
106,354
26,162
122,288
97,246
118,181
150,58
17,213
120,367
93,334
91,82
130,168
7,254
90,166
133,127
7,61
61,149
2,300
92,324
118,214
69,128
142,38
119,376
15,70
28,336
50,93
8,295
143,243
63,20
82,190
23,17
51,274
24,385
86,386
80,419
91,145
11,37
34,393
9,41
38,447
50,19
9,116
141,254
133,177
48,105
136,308
154,262
59,42
32,179
74,423
176,19
42,59
74,213
41,302
132,271
85,131
121,280
22,227
105,171
90,434
87,162
16,239
45,252
36,326
139,296
100,157
102,63
104,22
6,231
86,221
11,48
77,142
53,79
131,71
108,222
101,92
78,193
116,61
56,254
24,414
54,20
71,330
47,77
9,226
40,394
135,234
67,37
1,148
97,345
125,285
87,280
52,250
7,269
176,26
8,219
19,378
58,152
57,240
16,368
52,212
22,328
69,293
117,328
29,45
59,214
75,65
126,239
17,60
62,102
107,308
14,401
42,287
71,366
70,205
54,372
44,20
110,330
52,288
150,288
72,325
119,6
62,289
85,162
128,327
72,283
108,26
36,435
78,113
73,271
33,396
91,365
81,297
18,234
40,389
67,371
72,172
78,188
57,42
143,2
46,4
56,231
97,260
125,424
82,181
115,142
23,371
31,37
25,283
126,142
112,327
83,55
3,235
100,95
148,7
6,268
32,275
40,179
5,104
103,76
116,313
36,370
58,216
125,396
128,314
45,237
31,326
94,367
33,297
61,208
21,38
37,387
67,2
19,414
138,203
94,414
96,66
74,222
2,203
57,32
43,63
68,103
6,134
28,306
26,239
51,325
108,321
54,398
127,183
6,294
33,134
60,298
116,202
96,213
110,74
65,230
19,247
9,278
70,189
68,46
128,239
20,395
121,349
125,75
111,8
49,438
33,222
50,246
79,382
3,2
60,108
40,159
59,229
94,173
46,332
47,300
22,27
10,65
121,199
5,149
22,53
105,273
72,11
11,232
446,56
131,684
70,649
369,21
129,950
153,640
203,199
691,8
185,954
359,37
421,279
161,976
754,128
518,105
256,4
179,242
121,674
544,99
175,847
43,481
123,542
413,83
137,438
651,90
218,276
659,131
139,348
100,694
43,686
85,800
557,103
342,65
299,337
569,12
68,691
187,532
320,99
130,438
699,156
212,996
191,566
411,305
200,830
585,55
229,872
208,817
230,202
174,957
180,82
205,804
775,9
70,670
187,669
330,252
44,648
629,110
210,760
382,138
423,282
489,7
306,367
115,1000
48,734
766,126
244,9
378,353
205,102
111,567
314,277
659,80
313,79
124,539
814,33
148,759
388,93
760,125
116,691
312,404
182,628
827,150
86,738
729,136
172,667
423,112
151,374
456,114
578,102
850,37
615,101
885,57
603,124
889,52
331,272
46,460
196,179
111,659
246,153
250,408
605,72
133,590
103,650
159,947
391,145
154,529
60,749
78,638
190,640
842,144
282,145
453,140
419,64
553,88
254,769
161,127
700,20
182,946
285,122
187,367
50,529
363,325
62,1018
171,984
605,11
825,58
263,305
108,574
458,156
36,894
880,123
777,135
841,89
888,111
49,611
175,692
226,375
198,924
231,884
220,240
27,547
384,325
137,383
193,156
80,995
162,658
206,275
311,27
134,840
82,721
217,39
133,744
216,142
390,13
117,966
86,759
834,143
596,66
209,220
337,205
218,234
188,836
69,823
147,209
475,53
591,118
208,649
214,635
756,13
109,822
538,76
89,758
540,108
577,69
521,87
37,771
44,744
97,581
448,45
704,119
144,88
208,279
330,405
162,679
382,296
306,44
888,14
89,512
391,327
247,798
205,814
769,56
774,80
137,341
110,592
249,752
715,10
674,152
732,156
139,862
214,77
115,449
194,464
154,554
101,941
129,962
243,109
862,52
261,169
588,86
368,105
406,346
894,78
210,347
810,139
171,924
280,95
468,131
375,205
690,6
199,363
190,832
143,452
235,70
79,865
364,196
292,106
187,118
416,214
172,484
338,93
260,676
32,685
333,401
185,626
342,234
689,43
396,129
394,16
233,332
212,594
163,363
444,26
74,729
107,1008
24,997
166,392
275,25
133,721
51,624
854,7
821,130
225,198
807,160
669,112
209,76
84,776
271,408
325,147
120,835
184,781
32,1017
32,530
178,464
337,231
74,692
307,136
246,220
768,0
147,88
268,419
145,678
894,168
274,604
249,620
625,73
430,7
71,1003
392,199
488,68
202,290
658,41
143,727
351,344
128,973
163,609
249,637
160,271
701,72
229,172
260,618
184,922
43,936
796,16
239,1013
516,121
202,985
113,877
855,163
178,871
184,989
222,664
238,387
392,303
53,564
304,338
108,970
227,887
120,817
221,479
840,3
164,645
215,833
241,899
125,853
195,675
79,645
124,789
187,469
220,85
153,657
663,67
323,332
852,122
195,823
393,281
219,899
211,997
227,902
843,139
309,152
183,675
221,932
226,129
254,220
180,15
823,88
531,55
830,77
338,175
196,255
184,3
324,385
452,41
384,93
156,399
239,536
882,56
170,227
152,384
226,565
337,256
231,56
206,808
96,471
382,113
155,582
152,1018
701,65
133,776
279,198
201,188
180,405
106,754
122,582
138,919
199,92
195,116
220,149
418,171
147,554
211,751
310,344
128,455
218,463
233,837
188,104
232,267
164,1020
240,534
295,191
96,890
104,928
135,629
714,85
183,939
43,693
155,844
217,982
876,25
521,124
294,228
174,310
897,105
183,940
152,807
625,121
402,384
240,814
684,153
169,321
648,81
203,652
589,153
655,111
73,1018
864,154
198,853
220,638
286,86
100,548
760,16
18,478
187,191
852,146
356,344
128,378
180,616
819,69
341,59
165,820
196,689
29,731
77,805
160,214
243,380
178,145
233,28
180,172
273,325
63,938
328,131
79,936
171,641
173,580
201,258
550,32
770,10
445,65
231,665
869,57
328,212
394,132
9,434
680,116
39,711
140,783
215,875
112,894
233,769
207,772
213,98
103,839
92,612
186,685
167,477
544,25
68,631
103,502
205,120
147,178
326,26
239,881
162,498
426,71
701,143
248,74
122,810
504,54
141,549
247,776
338,306
332,135
598,13
771,13
253,699
76,578
172,40
88,870
660,68
142,787
142,885
732,5
82,679
314,313
204,461
139,738
211,33
132,538
150,653
75,668
384,348
98,981
407,371
880,97
808,26
214,634
143,974
221,980
219,333
202,660
169,222
204,998
615,128
272,349
432,169
40,881
191,294
182,604
460,167
228,306
367,14
235,381
422,308
336,291
243,628
342,385
136,719
209,310
231,744
187,57
273,296
54,804
71,952
386,326
81,673
292,319
827,72
346,407
290,310
551,142
243,483
236,175
297,213
725,127
801,30
299,357
786,2
124,499
203,27
58,607
166,949
286,115
697,143
177,395
388,308
466,176
103,988
891,114
285,353
32,995
217,776
202,670
819,24
801,146
41,672
232,256
225,838
354,169
169,317
825,23
521,107
249,543
104,776
184,39
393,239
572,104
186,117
61,619
62,630
41,864
237,56
404,153
133,418
296,4
807,31
175,810
332,65
278,51
781,143
242,373
224,549
161,626
356,39
898,113
224,43
280,57
377,298
98,600
292,356
897,42
52,1006
640,82
199,614
576,41
181,458
162,793
40,635
188,686
225,978
48,993
312,61
160,277
582,132
537,5
424,278
580,141
340,88
350,252
170,948
681,33
151,502
795,138
820,160
683,138
308,354
333,158
58,972
835,155
264,218
105,585
118,559
259,147
425,136
148,685
218,898
240,733
169,609
812,57
852,112
492,44
419,340
73,770
201,620
788,8
337,353
157,806
56,1017
42,944
259,615
257,17
577,93
308,75
19,507
161,600
85,592
867,20
237,43
518,51
131,378
898,8
161,100
789,156
839,119
47,486
314,115
164,344
104,660
22,660
165,702
465,22
274,131
819,113
59,775
653,54
329,353
331,344
263,426
183,641
244,785
529,54
369,288
105,537
208,252
189,794
225,215
171,929
170,417
245,198
229,552
248,39
224,142
113,939
420,251
236,682
177,349
887,145
77,922
136,906
471,84
125,938
117,808
369,64
200,61
685,50
196,119
328,207
165,920
715,69
417,144
223,796
104,640
136,813
60,585
300,362
225,814
442,138
435,193
217,925
163,842
117,807
636,133
138,498
268,323
603,144
402,114
115,512
128,478
376,5
407,199
100,744
377,194
398,122
877,130
37,460
803,64
236,995
288,365
78,721
351,227
286,213
153,378
551,143
215,868
657,106
833,69
308,212
424,232
169,334
166,1011
604,96
752,28
303,265
183,1014
586,73
219,751
558,19
586,103
159,490
733,55
36,694
180,567
47,579
101,598
151,806
64,695
220,981
252,542
328,59
798,76
335,11
360,349
521,4
205,307
215,891
245,87
37,905
700,76
158,265
245,587
123,451
214,330
262,189
699,86
860,12
132,546
177,919
254,284
368,286
696,103
557,49
65,752
212,604
435,170
321,95
747,42
206,354
677,20
310,150
207,481
96,647
313,190
784,100
155,545
745,21
383,88
487,41
200,511
68,745
78,563
248,495
840,169
660,75
341,240
284,424
565,121
114,843
85,796
381,116
28,694
341,326
23,522
48,529
240,812
83,563
93,809
160,318
845,84
728,66
92,526
41,794
409,92
58,714
405,52
380,179
460,178
348,113
229,349
703,39
163,190
65,604
161,578
815,72
279,324
308,410
388,75
111,594
498,45
78,726
167,190
433,106
45,692
149,153
482,29
866,141
222,144
37,542
182,404
397,5
149,559
239,548
23,699
188,5
282,15
808,108
402,57
492,136
753,128
638,72
510,115
266,352
125,599
239,310
158,689
67,964
128,494
276,556
181,677
197,307
198,407
408,169
35,672
325,250
481,14
126,667
501,20
138,754
788,26
791,72
232,171
517,122
224,292
144,110
357,246
130,916
882,131
475,39
150,181
48,972
397,65
364,97
211,877
161,531
810,75
389,44
254,273
390,319
132,459
732,58
167,715
340,163
151,1008
77,841
717,36
235,40
448,81
430,159
853,118
254,35
558,100
858,15
701,76
147,807
134,773
304,316
346,225
231,1023
679,62
245,272
301,386
161,511
882,63
169,127
413,201
589,7
227,763
329,154
397,175
125,471
640,75
234,764
99,1001
634,0
567,95
233,1022
211,180
154,1018
532,12
786,63
149,677
413,129
330,265
874,113
51,484
200,102
49,778
422,176
179,337
209,457
435,294
689,21
105,724
220,107
56,566
103,644
248,625
259,537
27,966
256,146
26,944
83,558
241,716
628,79
134,479
150,930
223,769
688,111
346,250
190,408
540,95
610,43
108,914
355,240
203,110
108,781
186,666
665,147
28,689
256,691
247,645
190,1007
845,73
218,890
185,527
298,29
795,154
362,5
728,92
34,1006
88,502
727,144
890,72
232,270
273,27
875,8
861,67
119,531
785,48
301,65
153,481
178,895
274,548
669,881
576,251
460,1009
389,828
619,912
687,299
513,525
448,856
377,804
713,412
438,1005
812,339
498,925
644,949
458,674
680,994
704,290
602,672
475,370
479,700
701,993
480,797
534,396
738,909
377,999
369,692
529,322
454,875
500,431
491,631
879,947
802,456
869,987
464,581
765,463
455,343
511,707
500,501
791,233
678,417
557,736
507,851
550,496
712,247
602,1023
738,460
462,325
612,713
542,838
640,788
847,443
467,870
482,552
713,222
370,1006
653,581
435,555
518,689
287,890
500,507
751,891
308,733
443,386
463,379
762,533
510,351
456,369
533,275
628,994
504,287
497,790
673,820
792,803
514,837
448,896
876,713
596,984
652,937
544,462
737,885
545,714
574,399
539,870
699,228
613,678
657,549
829,411
855,769
428,755
508,942
529,372
730,404
876,828
710,225
363,928
364,1013
584,973
724,204
692,252
368,946
495,744
532,689
779,785
455,552
417,823
559,918
509,986
555,355
799,883
863,501
896,332
785,417
499,816
445,419
308,691
658,992
696,225
356,740
583,973
397,747
818,313
552,679
259,1022
880,356
595,669
486,453
372,739
627,806
786,275
346,743
495,615
264,964
527,234
689,766
885,446
457,498
550,763
313,730
437,991
835,485
699,748
470,376
692,924
792,860
684,982
406,776
780,945
667,792
786,989
341,833
377,690
510,899
562,883
524,847
394,991
416,674
744,395
289,802
878,380
387,847
735,225
421,835
565,840
711,654
454,664
507,1015
696,308
701,868
849,832
336,974
759,371
555,573
792,265
760,994
416,988
851,423
794,790
817,224
359,890
547,761
734,530
562,944
472,343
388,760
680,301
803,887
504,374
692,985
557,341
462,973
403,894
830,465
492,512
471,861
462,451
566,495
377,947
628,667
782,203
303,886
721,311
464,648
564,530
489,828
889,897
553,188
386,923
605,898
657,611
857,964
370,945
424,663
509,761
514,974
858,831
533,718
568,517
523,897
582,394
582,739
564,596
426,1014
773,843
540,826
452,824
720,750
625,793
420,680
589,282
494,598
692,203
898,969
675,359
334,969
448,382
503,785
340,827
775,362
665,595
805,284
640,952
809,463
846,971
486,905
810,856
661,536
372,777
287,931
737,808
284,699
890,1003
618,643
701,888
779,361
692,322
282,995
543,566
495,566
322,837
565,854
893,207
535,503
446,852
312,755
428,634
898,828
646,849
778,773
776,380
547,209
441,987
605,978
519,951
849,887
673,462
432,804
461,881
551,569
376,785
391,974
618,767
301,903
769,1000
566,635
477,763
805,457
387,742
814,953
322,1003
719,308
725,195
715,474
525,290
849,787
757,956
850,409
709,805
496,682
503,809
602,907
494,768
671,564
520,302
819,267
707,525
464,442
589,255
454,813
832,218
483,838
725,783
475,949
346,692
827,552
231,911
493,506
780,210
647,915
662,513
667,429
802,959
449,880
522,436
835,866
519,595
330,787
485,326
757,230
684,935
302,725
714,366
480,725
815,822
547,693
432,936
548,540
459,433
420,978
663,978
569,456
664,824
662,474
291,747
401,917
278,984
504,623
555,826
677,386
592,951
567,824
779,396
562,299
755,387
420,832
882,997
785,881
418,569
661,901
339,851
732,722
633,920
519,502
565,747
408,658
519,806
750,281
660,579
687,288
338,805
556,636
518,975
791,968
767,869
579,688
354,987
676,559
622,767
446,873
447,576
484,971
809,1018
377,703
640,688
730,798
851,499
449,314
455,451
433,570
481,731
534,568
434,556
664,945
821,218
717,819
277,736
775,457
771,377
351,968
541,549
578,410
712,258
396,808
367,793
694,412
415,917
392,756
476,765
688,991
814,303
667,885
746,384
764,310
649,815
831,421
874,732
555,755
727,900
434,764
494,429
572,688
850,254
284,751
810,962
849,308
522,756
797,941
856,379
708,467
272,913
565,497
700,677
360,851
514,519
821,265
793,325
787,306
852,254
321,812
274,1013
803,940
661,1016
533,966
639,822
678,921
405,786
514,960
666,457
859,348
756,429
292,768
735,321
646,865
595,757
608,906
460,361
304,836
897,436
351,945
898,344
469,428
328,885
897,1009
556,216
584,922
841,433
847,1021
531,255
390,935
659,888
424,366
878,474
559,476
801,1002
572,355
673,1010
804,371
630,872
794,233
760,889
384,1023
504,776
618,653
757,835
327,812
390,923
805,468
405,805
810,730
