i,j
554,703
1220,728
626,273
753,1105
1210,790
636,332
591,1081
467,322
310,1126
671,208
816,868
711,468
89,1170
196,1138
721,719
810,1102
100,1188
339,1175
650,713
514,1050
880,862
650,1096
578,1151
545,677
738,443
487,988
373,1184
795,728
658,209
512,345
350,1002
754,630
454,970
633,1052
623,625
856,1170
564,1015
666,377
662,647
587,23
704,693
661,924
655,570
487,1129
588,1137
828,1080
687,82
654,584
547,1042
674,69
708,1175
622,1190
805,739
620,421
662,510
1110,797
451,1039
155,1141
660,377
668,657
672,1169
390,1155
638,85
602,1031
889,1169
1186,913
801,871
454,1009
571,719
312,1112
175,838
187,1154
90,1146
903,1189
816,829
859,785
526,1019
616,745
693,782
470,1032
417,1186
672,659
163,1132
535,1125
547,616
457,1084
656,235
743,679
509,338
460,309
537,637
736,1024
497,987
771,752
582,602
1180,703
1225,771
716,425
1157,813
678,506
600,44
619,1109
449,1044
423,1007
571,496
456,1187
660,436
629,412
1198,698
303,1192
1221,730
578,1112
442,647
1122,774
550,692
414,262
639,293
809,792
1226,658
463,1113
1262,665
645,1057
566,484
601,980
764,678
1145,763
648,470
631,1140
658,804
746,864
755,713
215,1197
745,389
778,747
705,119
467,988
88,1190
165,1189
733,1032
1055,835
1158,678
640,583
1085,835
760,1182
640,1131
674,1177
496,953
793,1122
435,976
737,1175
433,315
1197,953
602,720
709,966
595,1194
291,1023
592,1194
575,1003
688,961
552,627
580,971
811,811
788,1174
655,213
577,645
665,89
610,467
665,1126
389,1160
683,656
519,667
693,649
685,841
627,948
483,1066
305,1148
1187,765
556,1036
303,1078
467,1178
342,1066
820,867
586,1180
678,947
510,1136
653,204
508,1083
81,1150
326,1015
200,1144
647,358
673,422
610,382
514,941
876,878
483,311
587,957
678,90
632,292
775,1058
272,829
607,407
763,684
705,485
1272,725
630,1113
507,1007
845,759
484,985
398,1088
578,959
711,417
586,599
556,1167
524,1166
1147,933
620,662
1231,786
528,908
311,1133
650,66
716,1117
782,698
375,1104
432,326
706,829
597,936
595,705
468,1127
351,1111
621,59
677,264
613,377
748,341
751,349
669,1164
713,821
622,419
229,1142
489,1125
414,1032
409,1021
1280,697
749,641
206,1190
661,719
584,990
512,1125
669,1100
560,567
576,1183
780,1148
781,694
758,1161
326,1032
608,1114
690,366
358,1196
630,235
179,1150
784,812
596,721
357,1018
534,1114
293,1194
482,1170
490,322
569,944
625,55
404,1131
504,953
629,33
1205,892
484,852
768,637
849,816
543,675
629,1049
680,184
563,1015
624,625
629,719
377,1118
599,608
678,498
630,390
640,1106
650,1168
408,1184
658,660
819,1192
689,306
639,1032
1164,920
869,770
672,802
616,972
1086,856
686,650
530,1118
503,949
686,946
599,1121
632,365
826,839
593,763
529,1036
736,428
1148,725
619,605
357,1172
672,696
537,959
681,1083
383,1085
700,404
662,612
1119,737
702,445
718,666
713,347
680,56
672,630
820,875
615,991
656,464
508,1161
540,1043
476,1183
796,1062
603,616
452,657
674,776
610,981
1082,782
1164,722
504,1124
315,1015
414,1055
35,1001
453,1080
312,1031
437,1004
586,924
607,735
611,575
114,1147
861,812
731,798
817,1178
1194,884
599,376
604,298
625,898
1124,855
638,337
606,635
385,1005
619,771
598,1010
684,391
689,365
109,1185
423,1099
546,709
1279,748
409,985
652,1182
690,487
700,769
361,1106
225,1157
459,827
581,880
639,1053
696,946
693,97
745,370
691,68
726,405
599,729
665,451
550,954
463,317
707,1144
1237,906
326,1169
695,701
236,1145
634,1150
732,338
830,1130
723,365
599,677
1237,786
637,28
307,1059
632,384
557,1115
650,926
1266,665
773,1174
713,363
692,389
170,799
614,1148
720,703
419,270
863,1135
676,963
1220,767
581,685
604,1021
224,840
594,933
1230,761
1196,688
494,343
453,652
1073,854
571,660
598,645
524,1123
629,599
1205,696
1248,722
573,663
448,689
677,430
639,662
667,477
741,1042
354,1192
656,797
833,825
537,604
1260,675
313,1194
538,1114
1184,892
794,900
719,1162
674,381
576,635
279,1184
571,923
668,303
337,1132
483,303
481,1035
701,631
673,1149
569,707
1210,670
712,345
712,712
660,481
521,587
623,1156
604,756
1194,778
625,764
1101,821
1112,833
651,1160
569,1162
749,362
700,637
1287,694
800,704
72,1195
820,764
593,717
290,1131
681,280
507,1081
700,1136
709,705
652,775
734,622
657,275
661,91
452,1039
538,1104
549,1008
1162,893
641,988
603,938
583,874
678,507
509,1003
609,477
1194,862
175,1184
809,798
642,1054
581,453
719,382
455,1193
672,112
768,1150
608,649
706,338
670,86
796,812
622,1193
813,763
240,854
459,1086
525,1144
640,1115
1232,757
218,863
166,1156
604,1157
375,1084
791,836
725,811
227,825
655,406
60,999
742,1054
687,388
715,802
584,1059
724,619
422,970
671,716
181,1164
653,775
608,265
1179,784
696,1131
459,821
699,1011
135,1159
526,937
677,469
442,679
1274,744
642,254
868,1161
317,1166
367,1018
794,906
539,686
253,1154
710,1123
581,1192
682,645
389,1021
545,646
831,794
683,693
737,695
566,611
386,1107
824,1097
875,1146
1223,788
717,643
105,1139
269,837
598,1179
444,1135
672,973
512,634
455,1037
386,1196
686,282
808,838
575,679
405,1140
161,1185
595,1039
659,462
445,1118
1075,962
424,1103
799,829
786,713
1047,823
543,991
625,903
270,832
1191,950
1223,775
691,687
614,1001
385,1087
671,222
733,601
844,1187
554,1162
624,58
1188,868
596,421
1243,941
609,1012
422,975
500,1103
1078,784
617,43
751,675
778,698
615,1030
716,776
675,492
142,1143
574,488
1225,712
524,1179
434,1187
88,844
640,477
660,1018
605,1026
581,1002
458,639
822,1178
1228,943
723,1158
1076,965
704,492
516,968
625,364
481,1023
638,613
671,1173
660,700
612,349
1251,769
1198,716
610,264
712,814
353,1009
762,759
508,1068
706,1125
668,833
1232,657
623,964
1080,811
500,352
673,776
684,645
345,1126
266,852
1249,705
254,1177
501,948
444,961
721,746
706,674
1095,826
619,1151
1160,750
473,1128
688,788
461,1001
455,1034
778,1071
451,1028
1206,777
636,186
181,1117
643,976
573,701
568,687
644,358
665,938
627,41
308,1184
357,1000
624,225
387,1102
710,752
465,988
889,832
213,881
521,1076
735,390
647,1020
812,803
1213,933
572,1023
1157,692
735,363
702,60
774,1162
471,942
667,578
647,999
577,638
701,815
1230,797
645,1136
443,1067
343,1137
509,1040
865,775
647,940
169,803
1170,738
817,757
1170,712
488,355
728,1119
680,780
629,1133
890,880
360,1135
752,735
778,1171
195,1133
668,686
442,1098
442,1049
589,956
457,838
617,322
605,1095
740,705
573,695
445,644
712,720
666,924
689,646
578,570
277,838
842,1134
376,1098
1111,844
641,230
92,1151
793,687
53,1009
577,621
663,401
631,738
1211,789
207,1116
1166,876
1217,692
1202,732
461,1017
653,509
1234,701
175,1162
401,1056
694,485
860,826
784,1095
763,356
655,1158
604,310
691,972
708,721
649,1001
383,1147
739,1043
428,1164
614,658
200,1138
351,1153
659,432
587,574
94,838
335,1164
688,105
490,985
788,816
557,595
202,840
192,814
345,1012
699,810
580,558
799,1060
1200,946
711,647
656,1045
777,731
279,1141
716,1127
401,1116
602,403
362,1054
784,1060
494,955
755,1102
524,678
647,250
229,1187
1207,866
653,804
407,1037
564,1145
537,1034
629,1065
276,1186
353,1155
1214,903
603,1071
484,1019
696,709
431,289
684,700
1151,708
122,1114
805,1106
819,817
648,421
230,1129
474,1166
211,1188
531,980
1191,861
520,1143
397,1021
1223,761
750,750
678,368
1239,945
71,1165
861,1183
574,1005
508,345
552,1182
647,1119
803,1118
475,1183
462,1034
723,462
619,1173
1162,859
584,632
378,1096
723,425
744,1182
765,1029
1178,882
654,997
543,1176
518,895
632,641
808,740
420,987
611,671
167,822
654,643
648,919
791,705
214,853
468,1181
639,61
1233,771
608,1111
236,838
191,1174
1054,824
654,929
624,1077
369,1076
494,1166
1160,691
606,686
459,670
757,1186
1144,801
608,769
671,1190
686,736
734,439
617,571
649,1151
869,807
233,1147
661,292
854,1114
440,1121
206,870
695,1192
468,1092
829,1171
1220,709
480,974
408,1091
537,1078
711,763
807,1054
536,1167
598,703
633,731
718,820
880,1153
725,477
808,886
863,1127
91,1145
527,1122
380,1171
493,1158
214,1197
614,778
1210,715
696,804
678,1082
1201,647
464,324
78,1163
790,1090
656,214
673,250
627,1148
675,501
632,633
621,224
616,914
1263,692
861,1177
461,1111
1285,728
430,1079
682,781
385,1174
1170,835
647,598
742,1139
239,843
1137,920
618,750
1199,890
654,698
662,624
703,497
716,470
685,291
80,1133
1200,882
548,1076
588,1020
816,850
313,1093
1102,750
417,308
197,851
100,1162
1171,886
415,1027
423,1176
592,1003
362,1172
221,1169
638,83
576,1096
602,352
757,374
482,987
647,715
1210,693
278,1101
1141,908
1160,709
733,437
595,462
544,1025
657,137
750,1179
869,806
678,479
1107,834
564,683
784,1125
602,1048
804,1091
342,1027
511,1093
511,342
195,819
622,1033
1080,771
1286,24
1121,853
682,828
535,1143
654,1157
351,1030
733,338
744,1165
533,1025
1248,783
558,665
1272,27
613,476
759,858
688,443
601,770
646,394
739,682
501,995
526,1033
697,658
624,1134
716,763
353,1074
381,1016
236,1185
828,822
434,1051
236,865
676,574
574,1121
893,808
1184,788
821,1074
582,722
777,738
673,444
599,1021
589,1022
1190,681
419,1009
1148,762
471,969
677,130
282,1060
825,1116
853,1137
672,257
788,733
723,398
235,1194
558,1152
429,1082
636,246
723,415
520,644
556,907
656,940
661,81
1236,658
560,957
759,1131
871,814
447,1141
270,860
637,897
629,442
619,980
409,1132
731,346
681,594
643,717
797,1096
573,973
621,1122
723,1127
665,187
458,839
711,422
296,1030
608,440
1222,711
622,234
681,415
673,677
528,593
158,1120
297,1100
651,254
824,733
731,804
579,969
280,1106
647,689
279,1185
629,667
1057,801
290,1053
146,1113
819,1102
1127,828
633,885
1143,835
707,786
535,627
702,1127
721,1141
1207,914
647,501
105,1141
523,658
521,991
1189,690
735,381
693,976
649,218
1195,899
1195,904
672,591
629,891
660,1196
620,287
615,502
668,982
645,366
633,576
515,661
758,618
1073,816
662,940
389,1020
682,89
792,1168
1179,810
675,575
379,1176
635,1191
698,796
679,52
796,886
654,571
670,376
777,1174
660,1166
1099,798
857,845
824,1157
812,1096
156,1136
205,1148
580,1078
371,1022
1198,744
684,305
1191,870
637,939
718,758
623,293
1236,936
847,1188
629,926
459,1093
462,1021
860,1159
1070,836
717,969
1240,921
662,108
786,817
333,1156
693,495
774,1044
639,583
513,1000
490,1048
674,498
689,681
698,519
751,372
1258,922
430,1161
489,1183
320,1190
579,995
1066,793
704,698
1081,776
365,1178
588,560
80,1169
628,415
653,687
751,395
250,837
762,1090
577,490
501,1102
642,444
1283,708
659,1062
651,583
675,297
1191,678
592,576
547,689
1248,915
655,436
610,379
827,823
498,316
633,210
106,1167
459,655
413,1129
593,748
92,1169
1139,770
652,256
173,1179
1177,907
631,564
749,690
588,993
611,1116
1294,717
799,860
561,652
510,1016
661,415
663,670
694,678
835,1141
1096,759
455,842
628,306
610,279
462,663
639,680
759,1190
876,1190
633,499
696,1183
512,1145
828,850
346,1071
1208,680
553,642
721,1144
658,647
399,1080
600,978
899,843
544,1039
485,990
555,492
114,1159
625,278
624,1093
504,1115
656,90
454,816
734,639
828,792
638,355
772,1196
726,639
493,1178
777,1052
572,472
829,870
325,1189
319,1184
318,1125
562,615
240,1190
233,1155
1222,684
501,342
594,968
632,275
1149,850
661,424
315,1153
851,839
1167,780
641,1109
541,570
665,677
583,1049
439,1104
228,845
640,702
384,1102
172,1195
1160,698
1145,759
650,585
673,737
643,936
387,1194
192,1177
809,859
1205,922
641,968
640,1023
814,740
499,1115
209,1126
828,1123
625,562
1122,815
419,968
661,301
371,1017
406,983
501,1124
524,900
642,682
174,1178
1200,706
605,1101
670,115
217,1130
562,1136
497,999
128,1105
349,1053
781,1055
664,48
636,626
621,601
447,1103
252,1177
693,414
1174,796
367,1055
749,1079
1162,869
596,945
390,1147
1235,893
1176,715
654,224
519,1078
280,1116
195,1126
380,1193
620,38
537,591
608,352
651,997
410,1050
489,1083
1177,727
452,962
821,812
157,1196
486,1182
555,557
472,309
590,975
884,1192
1163,692
612,1099
479,1089
640,210
652,693
771,1110
272,1164
1222,695
720,403
540,996
371,1106
622,362
253,827
696,466
1212,911
1096,794
631,657
661,930
694,626
684,469
655,359
748,739
1170,753
691,442
630,678
485,847
378,1064
542,595
288,1071
360,1031
215,1166
660,1130
508,1069
756,338
643,695
343,1011
547,1165
832,845
683,619
598,1148
712,380
1119,805
1148,698
789,1108
628,894
249,1133
410,1044
359,1055
1150,748
310,1159
450,665
277,836
509,626
662,911
683,103
698,373
460,287
619,1093
240,1150
642,1070
670,259
536,1029
1171,905
475,988
571,715
567,697
622,1196
1156,704
753,1116
492,975
642,369
1244,705
294,1100
406,1073
152,1137
358,1128
53,1008
878,801
614,974
632,435
711,389
327,1146
676,648
1061,843
807,901
133,1108
633,317
668,406
611,1133
724,746
1205,742
1239,780
1206,786
647,653
649,277
609,334
799,872
441,1072
739,1180
620,641
404,1111
619,1045
278,1141
551,1110
614,353
609,614
635,205
609,1187
386,1106
589,653
635,1170
569,475
660,978
297,826
553,1045
217,888
610,713
634,733
657,210
274,843
466,1136
731,776
334,1084
511,1006
516,1033
593,979
634,36
626,931
270,1163
1155,793
628,1098
182,1126
418,1059
1244,768
669,450
253,1133
905,1175
296,1107
442,1138
550,560
345,1019
1135,736
434,1140
567,623
626,772
744,1086
670,228
304,838
706,718
675,668
1197,708
531,941
759,625
1243,678
854,828
656,1004
79,1156
601,933
669,425
596,918
247,838
571,597
483,1163
666,381
1170,699
420,258
428,983
519,601
469,1053
684,984
1289,671
806,712
319,1072
449,309
776,1049
648,1184
737,1043
875,1136
1270,751
302,1019
835,1120
602,1186
807,874
671,385
1265,676
266,1169
597,964
798,890
620,1036
731,753
831,1147
610,982
626,496
523,633
603,637
692,80
822,1123
362,1181
625,904
341,1109
521,1176
801,810
738,445
497,969
255,862
687,451
340,1113
817,1188
650,1073
683,614
481,942
708,87
801,1197
531,908
613,192
612,1177
239,838
530,915
788,707
1189,780
598,1104
337,1191
646,1056
544,607
462,961
616,1102
751,1069
408,1068
489,1039
651,604
669,1167
1244,698
156,1135
871,802
752,689
1170,871
681,496
596,1094
401,1147
475,325
381,1072
586,1096
498,336
348,1162
605,496
1096,776
767,1189
601,355
175,841
667,68
566,1089
508,1113
1086,836
455,1088
646,397
544,1091
547,1185
692,835
775,1090
632,1133
1206,660
1187,882
700,489
1287,721
664,1154
648,489
1190,717
531,1095
649,648
702,1196
752,396
570,479
757,638
199,1115
414,1130
501,1143
639,1178
571,904
662,709
420,1029
842,828
771,730
636,300
697,423
600,463
561,1182
805,891
423,1018
704,88
642,386
622,881
752,1023
590,751
201,863
1161,698
662,277
537,1117
556,617
402,1000
260,1166
663,958
627,919
608,1145
663,807
550,1080
470,831
622,994
581,934
459,1105
528,1085
300,1164
632,399
1159,936
669,1162
455,1151
269,835
651,1089
577,599
1221,916
665,793
275,838
518,589
787,1073
240,819
1174,911
769,1132
632,888
860,1129
811,1156
626,743
1163,827
636,1173
664,736
500,1079
392,1039
748,633
700,113
294,1086
686,502
564,973
607,685
518,1136
546,692
1128,833
81,1157
595,590
701,730
717,706
654,685
462,1103
1151,738
285,845
708,469
878,811
728,814
662,65
366,1115
575,1108
734,1060
648,373
682,835
796,824
595,496
516,339
402,1168
397,1015
482,1058
667,471
515,330
489,1089
649,449
611,754
700,108
550,713
412,986
197,1173
354,1075
631,778
628,328
559,1074
492,1134
748,384
593,612
302,1187
705,795
624,583
689,831
1238,701
729,740
628,1079
758,1009
800,1047
237,1134
565,1131
662,467
540,994
543,966
1230,661
186,805
673,811
555,1107
682,502
1220,809
94,1160
407,1185
739,357
745,1151
904,837
1174,812
377,1050
104,1186
675,695
666,707
577,721
189,844
630,969
458,1046
529,996
1152,932
592,1044
493,1056
563,713
1066,844
372,1104
1210,787
556,658
720,965
340,1034
488,1081
896,836
756,1072
578,436
330,1078
675,693
286,1071
598,447
1190,942
798,1114
203,1136
1259,751
559,686
525,645
675,743
613,1172
441,1053
716,449
643,345
450,960
597,1025
876,1176
542,1188
222,871
535,1019
729,405
477,827
706,640
555,1193
680,827
601,470
581,630
582,425
1150,907
751,749
834,1137
532,1037
638,708
829,1179
402,1175
428,331
606,575
1268,723
652,1138
914,815
1229,748
328,1127
575,649
301,1082
672,289
788,736
1132,799
579,698
1051,849
1247,921
675,77
839,830
632,611
466,1016
425,300
649,60
726,1194
722,730
681,934
442,310
1119,842
197,857
664,582
230,870
701,280
228,875
645,309
607,1078
1141,834
68,1183
488,968
619,1005
727,814
798,769
1185,758
722,474
550,577
1227,887
763,1125
558,700
300,840
690,826
638,904
681,1178
320,1023
453,816
592,754
212,834
654,567
412,1059
483,1077
647,1192
451,653
614,1014
1203,755
653,958
659,225
171,1155
557,906
571,685
579,438
371,1092
829,1118
792,767
1283,744
709,732
495,1157
672,702
660,108
1163,822
1273,12
341,1043
693,509
664,1120
654,958
894,792
221,1161
663,706
449,659
665,492
1194,782
684,949
764,1132
630,1178
146,1123
764,838
766,364
644,1005
807,1065
450,1053
351,1081
733,1039
1157,868
655,734
624,1080
1188,802
500,1187
1197,692
1268,754
1078,843
663,424
675,102
550,972
725,645
1160,841
551,705
403,1058
1066,840
638,691
665,238
1245,668
666,267
1152,768
58,1002
1204,890
679,447
614,695
412,1005
1175,920
473,1029
437,1180
719,1197
95,859
1089,809
70,962
778,876
675,923
743,1095
630,283
286,849
166,1182
641,501
608,1182
687,720
92,1165
573,604
515,598
1236,938
652,685
821,1183
473,1114
809,1117
184,848
1269,748
758,683
482,1017
804,1111
819,1095
587,488
898,844
600,960
739,382
1207,694
767,867
263,1189
299,1084
391,1127
1273,29
569,638
1208,684
1254,659
1232,923
601,721
771,692
704,370
756,1154
1084,958
789,724
268,1140
706,740
638,1140
894,1181
585,706
792,761
525,598
611,231
616,207
1168,753
1230,796
585,939
436,1137
341,1147
455,789
1177,753
1167,846
330,1114
797,1049
495,1119
1066,830
220,840
652,617
569,1081
498,1030
410,1083
453,1116
615,332
546,622
856,1196
627,251
748,712
727,644
803,757
170,1166
700,684
1098,789
225,1147
266,827
578,1091
463,1134
704,850
304,1159
665,738
682,390
233,875
660,566
698,1189
652,420
1165,758
86,1140
547,1069
1168,715
329,1149
1249,720
159,1164
828,1156
721,484
422,1136
585,982
610,1132
1157,726
658,1173
1203,778
630,1139
510,628
372,1039
683,686
420,1195
796,852
101,1191
453,1107
901,1191
413,1080
628,628
1115,833
679,721
373,1141
362,1191
421,1030
432,967
403,1065
699,275
544,1110
671,742
892,814
79,1148
457,1113
243,829
563,925
507,1006
419,973
691,86
1246,768
858,1182
570,1152
172,1184
557,569
727,677
1047,809
705,1133
1186,751
1238,754
386,1147
103,1176
867,1197
667,498
398,1022
1214,762
1151,804
1066,850
378,1011
206,890
721,799
1196,731
380,1148
427,974
1170,875
516,676
618,279
687,666
312,1067
217,881
758,1008
630,1054
468,877
880,850
582,603
493,1139
620,1056
557,556
1252,755
726,759
1182,855
815,849
821,733
695,625
1171,774
96,844
470,623
187,1146
322,1123
573,621
554,612
205,1155
621,404
1046,845
808,1134
427,1161
553,684
697,457
636,208
463,819
810,724
579,1035
353,1180
669,935
638,982
1210,698
808,1072
395,1081
568,1063
267,1158
615,964
673,489
738,1075
642,82
451,1152
1171,860
277,1103
614,341
1256,705
508,959
292,1119
778,1158
696,625
670,126
451,1090
511,675
419,1152
750,627
548,595
679,46
542,987
420,1165
1159,864
81,1144
628,953
835,1127
574,697
1208,811
275,1141
284,1143
644,245
1120,847
774,810
585,1056
1240,721
725,1120
389,1164
708,392
515,1066
678,463
1129,829
498,322
556,951
636,261
586,1086
307,1076
878,878
640,974
659,1008
1140,928
584,1105
466,792
1176,726
663,986
1093,831
1112,806
189,870
817,810
635,886
657,503
378,1101
1146,907
776,1187
665,229
713,777
539,1150
701,441
1195,726
369,1061
688,486
904,1195
668,691
759,674
558,1092
524,1181
296,1191
474,801
786,1124
829,768
463,810
761,1093
313,1188
660,256
590,1187
542,993
279,1091
556,639
1174,929
1225,796
616,218
666,1088
421,1065
793,1151
546,580
576,1190
660,237
671,937
719,438
1203,760
653,263
527,993
614,732
789,758
1102,850
628,1157
675,651
620,367
658,766
414,266
606,500
686,798
637,987
1072,818
634,1147
609,933
643,1057
1088,777
1172,890
601,357
720,437
327,1193
749,386
550,1149
1176,793
766,855
563,474
714,412
739,1146
544,1007
655,752
1192,753
638,236
516,1141
397,1115
799,862
644,102
496,328
68,960
671,586
377,1088
576,1155
1240,746
623,1167
628,319
557,1021
566,550
487,1160
588,706
747,711
621,881
590,22
678,44
165,1197
246,866
886,1181
138,1125
1192,880
880,782
434,1119
650,1196
765,358
888,887
666,109
579,566
671,428
764,376
354,1080
663,481
844,1170
695,638
512,972
876,1156
1209,713
1179,723
762,1104
646,234
727,656
554,677
408,1116
424,1195
444,1188
637,407
575,1188
1181,683
460,329
626,660
1193,682
337,1151
251,827
677,113
565,1141
1264,33
1146,868
624,30
1292,701
674,203
672,1086
596,681
473,987
656,607
332,1011
658,739
763,726
704,459
451,1052
621,1119
635,258
743,1192
683,379
712,768
654,1044
1106,805
633,657
301,1184
1188,735
647,70
658,465
838,783
1223,914
1205,784
586,476
1220,744
712,511
813,781
663,719
561,1005
647,488
1244,668
216,1160
1271,739
492,970
579,901
618,923
1260,656
568,1065
591,467
688,711
609,647
779,1179
127,1105
379,1173
209,1127
871,1149
415,1121
541,671
461,629
760,673
568,973
512,1043
661,197
595,1141
342,1152
280,856
209,1117
878,859
1113,799
1264,686
787,1147
347,1155
414,1038
665,927
790,820
735,691
1117,757
237,1172
1106,786
677,271
794,709
702,820
306,1132
679,787
80,1183
613,935
600,981
592,1186
799,1153
679,449
66,988
812,1129
797,761
650,500
511,968
1225,682
577,703
536,1142
143,1131
640,504
476,812
881,804
610,315
553,1104
698,439
551,569
627,414
1281,710
681,71
632,41
656,1152
771,836
596,490
678,94
462,775
549,710
872,1149
643,86
717,413
635,1096
634,1041
673,423
506,1152
1179,769
786,1162
453,631
565,960
654,285
585,1036
656,361
707,724
759,1172
767,710
401,1171
1182,677
423,279
652,987
420,1099
148,1158
645,657
127,1119
608,491
593,396
695,952
801,803
795,1188
586,953
723,605
674,453
693,470
229,856
553,609
529,938
586,1111
1278,675
691,500
727,1023
657,195
405,1044
631,298
268,1149
499,1065
224,1130
447,1189
629,416
471,866
184,1114
642,631
1173,745
868,803
678,794
537,953
622,482
710,698
302,1115
290,1057
920,1196
876,1191
390,985
463,315
483,343
716,429
541,633
1270,17
452,1037
723,352
119,1144
1244,910
741,1149
416,252
905,827
748,1065
454,969
207,1182
459,1183
690,49
672,761
1121,761
585,875
193,1133
624,695
894,825
684,761
809,1098
377,1038
669,441
545,671
235,884
541,574
775,1063
780,1191
1150,915
736,760
1199,679
518,1167
340,1042
219,1195
205,1153
571,921
688,252
844,765
666,710
180,1182
713,477
713,745
1210,690
623,470
753,391
594,610
652,762
198,1118
1225,745
483,308
636,77
624,608
585,1178
1202,785
383,1012
310,1100
552,700
480,969
279,1182
1208,717
616,366
386,1102
1214,930
476,1080
1238,779
478,808
386,1073
676,775
463,1091
624,469
254,1194
449,1104
488,1089
711,1178
816,768
572,1183
601,960
289,1031
623,389
685,738
590,1032
741,793
791,873
771,1050
1209,728
634,509
183,1147
646,702
1286,11
853,1125
787,1176
615,460
698,942
1289,718
750,862
194,876
495,1159
784,757
464,973
726,735
644,471
621,399
629,705
677,1191
670,642
645,243
603,999
1149,789
783,1089
804,1156
764,341
475,1127
1152,916
448,1113
630,460
659,102
765,349
1093,837
705,672
1167,939
625,239
866,1144
774,1136
610,36
729,1177
1222,941
587,1161
303,1167
577,1197
689,767
536,1112
1165,836
722,783
652,1196
618,1000
627,280
734,1181
430,1087
779,766
596,1163
836,1128
1076,795
826,867
460,1069
434,1013
563,574
548,1137
557,553
741,441
570,691
669,1185
842,1168
690,101
880,815
637,1034
579,1152
517,1033
560,981
903,1195
1142,725
807,1093
457,1114
628,1011
215,870
647,505
667,809
436,1017
421,345
1231,914
262,1142
654,623
326,1036
801,1048
536,1066
341,1073
698,733
646,291
654,676
329,1014
572,1179
674,261
602,987
852,1182
295,1057
580,585
678,740
497,1092
1151,782
578,1042
708,88
617,940
677,625
608,1147
332,1122
185,1185
627,490
642,1145
815,865
676,671
578,904
542,1142
507,995
775,901
356,1004
768,674
642,76
608,488
1120,758
537,1009
609,1043
605,400
703,731
780,713
573,1035
1180,826
471,1161
814,1128
344,1134
615,466
696,266
297,1042
1180,745
1125,802
826,1139
185,1170
565,671
1154,673
326,1092
792,849
623,299
679,403
1281,742
732,1090
153,1153
602,1137
677,786
469,1114
382,1188
578,934
651,959
611,1009
605,1055
417,278
526,992
635,192
466,962
1204,879
642,729
766,867
532,965
710,353
752,1143
320,1134
806,1077
628,640
674,240
583,1056
1143,825
570,1041
444,1098
1223,887
414,1143
610,1167
1130,835
609,632
685,477
533,610
377,1104
588,1194
198,861
444,1044
111,1195
623,200
667,609
314,1014
556,626
627,943
513,936
620,1012
1223,939
675,820
722,611
618,607
668,466
653,777
633,1092
712,701
287,1130
1248,917
1169,696
226,866
563,582
664,456
649,1190
384,1006
820,1114
591,635
770,1197
1222,777
531,1030
1226,679
595,366
417,264
763,737
660,411
505,953
487,334
610,712
914,818
756,1112
724,763
763,898
679,639
726,742
734,457
680,952
358,1096
447,340
361,1109
556,1165
1158,812
282,1111
1211,787
459,624
1205,796
585,892
836,777
563,468
661,1175
663,475
402,1033
487,1166
1266,757
1067,807
804,891
703,736
562,609
660,916
431,312
1156,838
607,32
343,1097
1208,776
1054,798
434,1043
492,1123
722,469
628,385
656,202
790,731
444,651
490,999
848,819
478,815
784,750
777,1190
355,1030
672,103
616,315
624,59
391,1109
422,1117
557,1145
498,1074
634,326
513,637
285,1124
